,listing_names,listing_prices,location,netm2,bedroom_number,building_floor_number,floor,heating_system,age,situation,seller,title_dead_status,credit,rent_income
0,Kadiköy Moda Sarraf Ali Sokak'ta Eşyalı Satılık 2+1 Daire,2750000,Caferağa,55.0,21.0,6.0,6,Kalorifer (Doğalgaz),36-40,Boş,Danışman,,Hayır,30000.0
1,KADIKÖY BAHARİYE CADDESİNE 50 METRE MESAFEDE 70 M2 DÜKKAN,4750000,Caferağa,60.0,1.0,4.0,Zemin Kat,Klima,16-20,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
2,ANA CADDE ÜZERİNDE KİRACILI 100 M2 DÜKKAN,4750000,Caferağa,85.0,2.0,5.0,Zemin Kat,Merkezi Sistem,11-15,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
3,KADIKÖY ÇARŞISININ HAREKETLİ YERİNDE 300 M2 DÜKKAN,15000000,Caferağa,255.0,3.0,4.0,Zemin Kat,Kombi (Doğalgaz),16-20,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
4,KADIKÖY MODA DA OTOPARKLI YENİ BİNADA FERAH 130m2 FIRSAT 3+1,9750000,Caferağa,100.0,31.0,4.0,Yüksek Giriş,Kombi (Doğalgaz),6-10,Mülk,,,Evet,0.0
5,Kadıköy Moda Sarraf Ali Sokak'ta Eşyalı Satılık 2+1 Daire,2750000,Caferağa,55.0,21.0,6.0,6,Klima,31-35,Boş,,,Evet,0.0
6,Fenerbahçe Cemiltopulzu Caddesi 3+1 Balkonlu Daire,11950000,Caferağa,110.0,31.0,8.0,4,Kombi (Doğalgaz),16-20,Boş,,,Evet,0.0
7,Bahariye Caddesine Yakın Asansörlü Binada Ofis,2475000,Caferağa,,2.0,5.0,3,Merkezi Sistem,16-20,Kiracılı,,,Hayır,0.0
8,MODA SAHİLE 1 DAKİKA 220m2 İSKANLI BALKONLU 1.KAT SATILIK 4+1,6400000,Caferağa,200.0,41.0,4.0,1,Merkezi Sistem,31-35,Boş,Danışman,Kat Mülkiyeti,Evet,20000.0
9,Kadıköy Caferağa Mahallesinde Yatırım İçin 1+1 Satılık Daire,3250000,Caferağa,50.0,11.0,6.0,Yüksek Giriş,Kombi (Doğalgaz),36-40,Kiracılı,Danışman,,Evet,
10,PRESTİJLİ SOKAKTA BAHÇE KULLANIMLI GENİŞ SATILIK DAİRE,3050000,Caferağa,110.0,31.0,5.0,Bahçe katı,Merkezi Sistem,31-35,Kiracılı,,,Evet,0.0
11,KADIKÖY CAFERAĞA'DA SATILIK 2+1 DAİRE,2750000,Caferağa,90.0,21.0,5.0,Bodrum Kat,Kombi (Doğalgaz),21-25,Kiracılı,,,Evet,0.0
12,KADIKÖY MÜHÜRDAR CADDESİ ÜZERİNDE KİRACILI 1300 M2 KOMPLE BİNA,55000000,Caferağa,,,5.0,,Merkezi Sistem,6-10,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
13,KADIKÖY ÇARŞISININ HAREKETLİ YERİNDE 15 M2 DÜKKAN,4000000,Caferağa,13.0,1.0,4.0,Zemin Kat,Merkezi Sistem,21-25,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
14,Moda Caferağa'da Sahile Yakın 3+1 Keyifli Bahçe Katı Daire,4250000,Caferağa,100.0,31.0,5.0,Bahçe katı,Merkezi Sistem,31-35,Kiracılı,Danışman,Kat Mülkiyeti,Evet,0.0
15,MODA CADDESİ ÜSTÜ 9 YILLIK İSKANLI BALKONLU 3.KAT 200m2 SATILIK,14000000,Caferağa,160.0,31.0,6.0,3,Kombi (Doğalgaz),6-10,Kiracılı,Danışman,Kat Mülkiyeti,Evet,20000.0
16,Kadıköy Antikacılar Sokağında 2+1 Satılık Daire,3150000,Caferağa,70.0,21.0,4.0,2,Kombi (Doğalgaz),31-35,Kiracılı,,,Evet,0.0
17,"Kadıköy Kadife Sokakta, Yüksek Kira Getirili, Satılık 2+1!",4300000,Caferağa,90.0,21.0,4.0,Giriş Katı,Kombi (Doğalgaz),26-30,Kiracılı,Danışman,,Evet,0.0
18,"Kadıköy'de Yatırımlık, İçi Yapılı, Satılık 2+1Daire!",4800000,Caferağa,90.0,21.0,4.0,Giriş Katı,Kombi (Doğalgaz),26-30,Kiracılı,Danışman,Kat Mülkiyeti,Evet,0.0
19,KADIKÖY ÇARŞISININ EN HAREKETLİ YERİNDE 400 M2 KOMPLE BİNA,40000000,Caferağa,,,5.0,,Kombi (Doğalgaz),21-25,Kiracılı,Danışman,,Evet,
20,ANA CADDE ÜZERİNDE BANKA KİRACILI 750 M2 DÜKKAN,28000000,Caferağa,638.0,3.0,4.0,Zemin Kat,Merkezi Sistem,16-20,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
21,KADIKÖY MÜHÜRDAR CADDESİ ÜZERİNDE KİRACILI 650 M2 KOMPLE BİNA,35000000,Caferağa,,,5.0,,Kombi (Doğalgaz),11-15,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
22,KADIKÖY ÇARŞISININ HAREKETLİ YERİNDE 60 M2 DÜKKAN,3500000,Caferağa,51.0,2.0,4.0,Zemin Kat,Merkezi Sistem,21-25,Kiracılı,Danışman,,Evet,
23,KADIKÖY MÜHÜRDAR CADDESİ ÜZERİNDE KİRACILI 300 M2 KOMPLE BİNA,30000000,Caferağa,,,3.0,,Kombi (Doğalgaz),26-30,Kiracılı,Danışman,,Evet,
24,KADIKÖY BAHARİYE CADDESİNE İKİNCİ BİNADA 200 M2 DÜKKAN,4500000,Caferağa,170.0,3.0,4.0,Zemin Kat,Kombi (Doğalgaz),26-30,Kiracılı,Danışman,,Evet,
25,KADIKÖY BAHARİYE CADDESİ ÜZERİNDE 200 M2 MAĞAZA,6750000,Caferağa,170.0,2.0,4.0,Zemin Kat,Merkezi Sistem,26-30,Kiracılı,Danışman,,Evet,0.0
26,KADIKÖY ÇARŞISININ HAREKETLİ YERİNDE 60 M2 DÜKKAN,10000000,Caferağa,51.0,2.0,4.0,Zemin Kat,Merkezi Sistem,21-25,Kiracılı,Danışman,,Evet,
27,KADIKÖY MODA CADDESİ ÜZERİNDE KİRACILI 300 M2 DÜKKAN,30000000,Caferağa,255.0,3.0,4.0,Zemin Kat,Merkezi Sistem,21-25,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
28,KADIKÖY MODA CADDESİ ÜZERİNDE KİRACILI 125 M2 DÜKKAN,8500000,Caferağa,107.0,1.0,4.0,Zemin Kat,Merkezi Sistem,21-25,Kiracılı,Danışman,,Evet,
29,KADIKÖY ÇARŞISININ HAREKETLİ YERİNDE KİRACILI 30 M2 DÜKKAN,4000000,Caferağa,26.0,1.0,4.0,Zemin Kat,Klima,26-30,Kiracılı,Danışman,,Evet,8000.0
30,KADIKÖY MODA CADDESİ ÜZERİNDE 90 M2 DÜKKAN,18500000,Caferağa,77.0,4.0,4.0,Zemin Kat,Klima,26-30,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
31,KADIKÖY BAHARİYE CADDESİ ÜZERİNDE 125 M2 DÜKKAN,5000000,Caferağa,107.0,1.0,4.0,Zemin Kat,Merkezi Sistem,26-30,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
32,KADIKÖY ÇARŞISININ HAREKETLİ YERİNDE 250 M2 DÜKKAN,5500000,Caferağa,213.0,2.0,4.0,Zemin Kat,Kombi (Doğalgaz),16-20,Kiracılı,Danışman,,Evet,
33,KADIKÖY ÇARŞISININ HAREKETLİ YERİNDE 50 M2 DÜKKAN,4500000,Caferağa,43.0,2.0,4.0,Zemin Kat,Merkezi Sistem,21-25,Kiracılı,Danışman,,Evet,
34,ANA CADDE ÜZERİNDE 50 M2 DÜKKAN,4000000,Caferağa,43.0,3.0,4.0,Zemin Kat,Klima,26-30,Kiracılı,Danışman,,Evet,0.0
35,KADIKÖY ÇARŞISININ HAREKETLİ YERİNDE KİRACILI 250 M2 KOMPLE BİNA,12500000,Caferağa,,,4.0,,Kombi (Doğalgaz),2,Kiracılı,Danışman,,Evet,
36,KADIKÖY ÇARŞISININ HAREKETLİ YERİNDE 80 M2 DÜKKAN,10000000,Caferağa,68.0,2.0,4.0,Zemin Kat,Klima,16-20,Kiracılı,Danışman,,Evet,0.0
37,KADIKÖY HASIRCIBAŞI CADDESİNDE 220 M2 DÜKKAN,4500000,Caferağa,187.0,2.0,4.0,Zemin Kat,Kombi (Doğalgaz),16-20,Kiracılı,Danışman,,Evet,
38,KADIKÖY MODA CADDESİ ÜZERİNDE KİRACILI 300 M2 DÜKKAN,25000000,Caferağa,255.0,2.0,4.0,Zemin Kat,Merkezi Sistem,26-30,Kiracılı,Danışman,,Evet,
39,MERKEZİ KONUMDA KİRACILI 400 M2 DÜKKAN,7500000,Caferağa,340.0,2.0,4.0,Zemin Kat,Merkezi Sistem,16-20,Kiracılı,Danışman,,Evet,13000.0
40,KADIKÖY MÜHÜRDAR CADDESİ ÜZERİNDE 900 M2 MAĞAZA,90000000,Caferağa,765.0,2.0,4.0,Zemin Kat,Merkezi Sistem,16-20,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
41,Serasker Caddesi'nde Tabela Değeri Yüksek Satılık Ofis Katı,3750000,Caferağa,,3.0,4.0,2,Kombi (Doğalgaz),40,Kiracılı,Danışman,Kat Mülkiyeti,Evet,0.0
42,Moda Mühürdar caddesinde denize yakın 4 yıllık satılık daire,7000000,Caferağa,120.0,31.0,7.0,Kot 1,Kombi (Doğalgaz),4,Kiracılı,Danışman,Kat Mülkiyeti,Evet,15000.0
43,TURYAP TAN KADIKÖY DE DENİZ MANZARALI 2+1 FIRSAT SATILIK DAİRE,2950000,Caferağa,75.0,21.0,4.0,4,Kombi (Doğalgaz),31-35,Boş,,Kat Mülkiyeti,Evet,0.0
44,KADIKÖY RIHTIM CADDESİ ÜZERİNDE KİRACILI 550 M2 DÜKKAN,27500000,Caferağa,467.0,3.0,5.0,Zemin Kat,Kombi (Doğalgaz),21-25,Kiracılı,Danışman,,Evet,
45,KADIKÖY ÇARŞISININ HAREKETLİ YERİNDE 160 M2 DÜKKAN,3750000,Caferağa,136.0,,4.0,,Merkezi Sistem,16-20,Kiracılı,Danışman,,Evet,
46,KADIKÖY RIHTIM CADDESİ ÜZERİNDE KİRACILI 320 M2 DÜKKAN,17500000,Caferağa,272.0,2.0,4.0,Zemin Kat,Merkezi Sistem,21-25,Kiracılı,Danışman,,Evet,
47,ANA CADDE ÜZERİNDE 180 M2 DÜKKAN,15000000,Caferağa,153.0,3.0,4.0,Zemin Kat,Kombi (Doğalgaz),21-25,Kiracılı,Danışman,,Evet,0.0
48,KADIKÖY ÇARŞISININ  HAREKETLİ YERİNDE KİRACILI 50 M2 DÜKKAN,5000000,Caferağa,43.0,2.0,4.0,Zemin Kat,Merkezi Sistem,26-30,Kiracılı,Danışman,,Evet,10000.0
49,KADIKÖY ÇARŞISININ HAREKETLİ YERİNDE 60 M2 DÜKKAN,4250000,Caferağa,51.0,1.0,4.0,Zemin Kat,Merkezi Sistem,21-25,Kiracılı,Danışman,,Evet,
50,Modada Rıhtıma Yakın 4+1 Mimari Dekorlu Daire EMLAK MASASI,5500000,Caferağa,120.0,41.0,4.0,2,Kombi (Doğalgaz),31-35,Boş,Danışman,Kat Mülkiyeti,Evet,0.0
51,KADIKÖY BAHARİYE CADDESİ ÜZERİNDE KİRACILI 30 M2 DÜKKAN,22500000,Caferağa,26.0,1.0,4.0,Zemin Kat,Merkezi Sistem,21-25,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
52,KADIKÖY SAKIZGÜLÜ SOKAKTA KİRACILI 36 M2 DÜKKAN,9500000,Caferağa,31.0,2.0,4.0,Zemin Kat,Merkezi Sistem,21-25,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
53,KADIKÖY ÇARŞISININ HAREKETLİ YERİNDE 110 M2 DÜKKAN,3250000,Caferağa,94.0,2.0,4.0,Zemin Kat,Merkezi Sistem,21-25,Boş,Danışman,Kat Mülkiyeti,Evet,
54,KIZILTOPRAK BAĞDAT CADDESİ ÜZERİNDE 90 M2 OFİS,3500000,Caferağa,,2.0,4.0,3,Kombi (Doğalgaz),26-30,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
55,KADIKÖY ÇARŞISININ HAREKETLİ YERİNDE 110 M2 DÜKKAN,4250000,Caferağa,94.0,2.0,4.0,Zemin Kat,Merkezi Sistem,26-30,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
56,KADIKÖY ÇARŞISININ HAREKETLİ YERİNDE 120 M2 DÜKKAN,3750000,Caferağa,102.0,2.0,4.0,Zemin Kat,Merkezi Sistem,26-30,Kiracılı,,Kat Mülkiyeti,Evet,
57,KADIKÖY ÇARŞI İÇİNDE OFİS KATI,650000,Caferağa,,1.0,5.0,4,,,,Danışman,,Evet,
58,KADIKÖY'DE SATILIK KOMPLE BİNA,30000000,Caferağa,,,7.0,,Kombi (Doğalgaz),21-25,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
59,KADIKÖY ÇARŞI İÇİNDE OFİS KATI,650000,Caferağa,,,,,,,,,,Evet,0.0
60,İstanbul Kadıköy Tarihi Balıkçılar Çarşısında Satılık Butik Otel,51275000,Caferağa,,,5.0,,,40,,,,Evet,
61,SATILIK HASTANE,150000000,Caferağa,,,,,,,,,,Evet,
62,MODA EMİN ONAT SOKAKTA EŞSİZ KONUMDA 3+1 140 M2 DAİRE,8400000,Caferağa,120.0,31.0,4.0,2,Merkezi Sistem (Isı Payı Ölçer),31-35,Kiracılı,,,Evet,0.0
63,"25 square meters Store / Shop For Sale in Kadıköy, İstanbul, Turkey",5500000,Caferağa,22.0,,,,,,,,,,
64,"145 square meters Store / Shop For Sale in Kadıköy, İstanbul, Turkey",22500000,Caferağa,124.0,,,,,,,,,,
65,"110 square meters Store / Shop For Sale in Kadıköy, İstanbul, Turkey",5500000,Caferağa,94.0,,,,,,,,,,
66,"135 square meters Store / Shop For Sale in Kadıköy, İstanbul, Turkey",6750000,Caferağa,115.0,,,,,,,,,,
67,"70 square meters 1+1 bedrooms Apartment For Sale in Kadıköy, İstanbul, Turkey",5800000,Caferağa,56.0,,,,,,,,,,
68,"180 square meters Store / Shop For Sale in Kadıköy, İstanbul, Turkey",12500000,Caferağa,153.0,,,,,,,,,,
69,"15 square meters Store / Shop For Sale in Kadıköy, İstanbul, Turkey",1750000,Caferağa,13.0,,,,,,,,,,
70,"91 square meters 2+1 bedrooms Apartment For Sale in Kadıköy, İstanbul, Turkey",4000000,Caferağa,78.0,,,,,,,,,,
71,"125 square meters 3+1 bedrooms Apartment For Sale in Kadıköy, İstanbul, Turkey",5000000,Caferağa,110.0,,,,,,,,,,
72,"150 square meters 3+1 bedrooms Apartment For Sale in Kadıköy, İstanbul, Turkey",7200000,Caferağa,140.0,,,,,,,,,,
73,"700 square meters  bedrooms Building For Sale in Kadıköy, İstanbul, Turkey",45000000,Caferağa,680.0,,,,,,,,,,
74,"125 square meters 3+1 bedrooms Apartment For Sale in Kadıköy, İstanbul, Turkey",6500000,Caferağa,115.0,,,,,,,,,,
75,"135 square meters 3+1 bedrooms Apartment For Sale in Kadıköy, İstanbul, Turkey",6450000,Caferağa,110.0,,,,,,,,,,
76,"71 square meters 2+1 bedrooms Apartment For Sale in Kadıköy, İstanbul, Turkey",4500000,Caferağa,56.0,,,,,,,,,,
77,"15 square meters Store / Shop For Sale in Kadıköy, İstanbul, Turkey",660000,Caferağa,,,,,,,,,,,
78,"170 square meters 3+1 bedrooms Apartment For Sale in Kadıköy, İstanbul, Turkey",6800000,Caferağa,150.0,,,,,,,,,,
79,"185 square meters Residential Zone For Sale in Kadıköy, İstanbul, Turkey",28000000,Caferağa,,,,,,,,,,,
80,"120 square meters 3+1 bedrooms Apartment For Sale in Kadıköy, İstanbul, Turkey",6400000,Caferağa,110.0,,,,,,,,,,
81,kadıköy satılık bina rıhtımda deniz manzaralı camlı fırsat fiyat,18500000,Osmanağa,,,7.0,,Kombi (Elektrikli),16-20,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
82,KADIKÖY BAHARİYE CADDESİ'NDE SATILIK 30 M2 KÖŞE DÜKKAN,23500000,Osmanağa,25.0,1.0,,,,26-30,Kiracılı,Danışman,,Evet,
83,MERKEZİ KONUMDA 140 M2 DÜKKAN,12500000,Osmanağa,119.0,1.0,4.0,Zemin Kat,Merkezi Sistem,26-30,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
84,KADIKÖY SERASKER CADDESİNDE KİRACILI 90 M2 DÜKKAN,3750000,Osmanağa,77.0,2.0,4.0,Zemin Kat,Klima,21-25,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
85,KADIKÖY ÇARŞISININ HAREKETLİ YERİNDE 180 M2 DÜKKAN,6000000,Osmanağa,153.0,2.0,4.0,Zemin Kat,Merkezi Sistem,16-20,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
86,KADIKÖY ÇARŞISININ HAREKETLİ YERİNDE KİRACILI 280 M2 DÜKKAN,7250000,Osmanağa,238.0,2.0,4.0,Zemin Kat,Kombi (Doğalgaz),21-25,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
87,KADIKÖY VİŞNE SOKAKTA 80 M2 DAİRE,1750000,Osmanağa,68.0,21.0,4.0,Giriş Katı,Kombi (Doğalgaz),26-30,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
88,KADIKÖY RIHTIM CADDESİNE 150 METRE MESAFEDE 300 M2 DÜKKAN,5000000,Osmanağa,255.0,3.0,4.0,Zemin Kat,Kombi (Doğalgaz),16-20,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
89,Kadıköy Hasırcı Başında Teraslı Satılık Daire,5200000,Osmanağa,66.0,22.0,4.0,4,Kombi (Doğalgaz),0,Boş,,,Evet,0.0
90,KADIKÖY HALİTAĞA CADDESİ'NDE SATILIK 3+1 DAİRE,3600000,Osmanağa,100.0,31.0,4.0,4,Kombi (Doğalgaz),26-30,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
91,KADIKÖY BOĞA İLE RIHTIM ARASINDA SATILIK DÜKKAN & MAĞAZA,1500000,Osmanağa,53.0,3.0,1.0,,Yok,26-30,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
92,KADIKÖY BOĞA İLE RIHTIM ARASINDA SATILIK DÜKKAN & MAĞAZA,600000,Osmanağa,24.0,1.0,,4,Yok,26-30,,Danışman,Kat Mülkiyeti,Evet,
93,KADIKÖY BOĞA İLE RIHTIM ARASINDA SATILIK DÜKKAN & MAĞAZA,1800000,Osmanağa,60.0,2.0,7.0,Giriş Katı,Yok,26-30,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
94,KADIKÖY OSMANAĞA'DA YÜKSEK YATIRIM DEĞERLİ ÜST KAT 1+1 SATILIK F,3000000,Osmanağa,65.0,11.0,5.0,5,Kombi (Doğalgaz),40,Kiracılı,Danışman,Arsa Tapulu,Hayır,
95,Kadıköy de Yatırıma Uygun Teraslı Satılık 4+1,4150000,Osmanağa,120.0,41.0,5.0,5,Kalorifer (Doğalgaz),21-25,Boş,Danışman,Kat Mülkiyeti,Evet,
96,KADIKÖY RIHTIM CADDESİ ÜZERİNDE 2100 M2 KOMPLE BİNA,115000000,Osmanağa,,,6.0,,Merkezi Sistem,21-25,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
97,ANA CADDE ÜZERİNDE KİRACILI 300 M2 DÜKKAN,14500000,Osmanağa,255.0,2.0,4.0,Zemin Kat,Kombi (Doğalgaz),1,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
98,KADIKÖY ÇARŞISININ HAREKETLİ YERİNDE 600 M2 KOMPLE BİNA,30000000,Osmanağa,,,8.0,,Kombi (Doğalgaz),6-10,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
99,KADIKÖY ALTIYOL SÖĞÜTLÜ ÇEŞME CADDESİ ÜZERİNDE 500 M2 DÜKKAN,40000000,Osmanağa,425.0,3.0,4.0,,Merkezi Sistem,26-30,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
100,KADIKÖY HALİTAĞA CADDESİ'NDE SATILIK BAHÇELİ MÜSTAKİL BİNA,35000000,Osmanağa,,,4.0,,,26-30,Mülk,Danışman,Kat Mülkiyeti,Evet,
101,KADIKÖY HALİTAĞA CADDESİ'NDE SATILIK KOMPLE BİNA,23000000,Osmanağa,,,8.0,,,16-20,Kiracılı,Danışman,,Evet,
102,Kadıköy 6 Yol Meydanda Üç Cepheli Ofis,5750000,Osmanağa,,4.0,5.0,5,Kombi (Doğalgaz),36-40,Kiracılı,,,Evet,0.0
103,KADIKÖY BAHARİYE CADDESİ'NE YAKIN SATILIK 1+1 DAİRE,3100000,Osmanağa,50.0,11.0,3.0,1,Kombi (Doğalgaz),11-15,Mülk,Danışman,Kat Mülkiyeti,Evet,
104,KADIKÖY RIHTIM CAD SATILIK 88 M² ARSA,11750000,Osmanağa,,,,,,,,,Müstakil Parsel,Evet,
105,KADIKÖY YATIRIMLIK DÜKKAN,990000,Osmanağa,,,,,,,,,,Evet,0.0
106,HASIRCIBAŞINDA GİRİŞ KAT 2+1 DAİRE,3850000,Osmanağa,76.0,21.0,5.0,Garden Floor,Combi Boiler (Natural Gas),Between,Occupied,,,Hayır,0.0
107,KADIKÖY ÇARŞISININ HAREKETLİ YERİNDE 140 M2 DÜKKAN,7000000,Osmanağa,119.0,2.0,4.0,Zemin Kat,Kombi (Doğalgaz),21-25,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
108,KADIKÖY ALTIYOL'DA KURUMSAL KİRACILI SATILIK KOMPLE BİNA,22500000,Osmanağa,,,5.0,,Klima,31-35,Kiracılı,Danışman,,Evet,
109,SÖĞÜTLÜ ÇEŞME CADDESİ ÜZERİNDE KİRACILI 1000 M2 KOMPLE BİNA,30000000,Osmanağa,,,6.0,,Kombi (Doğalgaz),16-20,Kiracılı,Danışman,,Evet,
110,KADIKÖY SÖĞÜTLÜ ÇEŞME CADDESİ ÜZERİNDE 110 M2 MAĞAZA,18750000,Osmanağa,94.0,2.0,4.0,Zemin Kat,Merkezi Sistem,16-20,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
111,ANA CADDE ÜZERİNDE 20 M2 DÜKKAN,5500000,Osmanağa,17.0,1.0,4.0,Zemin Kat,Merkezi Sistem,21-25,Kiracılı,Danışman,,Evet,
112,ANA CADDE ÜZERİNDE 90 M2 DÜKKAN,4500000,Osmanağa,77.0,2.0,4.0,Zemin Kat,Merkezi Sistem,21-25,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
113,ANA CADDE ÜZERİNDE 100 M2 DÜKKAN,2750000,Osmanağa,85.0,3.0,4.0,Zemin Kat,Merkezi Sistem,21-25,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
114,KADIKÖY SÖĞÜTLÜ ÇEŞME CADDESİNE İLK SIRADA KİRACILI 18 M2 DÜKKAN,1250000,Osmanağa,16.0,1.0,4.0,Zemin Kat,Merkezi Sistem,26-30,Kiracılı,Danışman,Kat Mülkiyeti,Evet,3500.0
115,KADIKÖY HASIRCIBAŞI CADDESİ ÜZERİNDE KİRACILI 80 M2 DÜKKAN,5000000,Osmanağa,68.0,2.0,4.0,Zemin Kat,Merkezi Sistem,21-25,Kiracılı,Danışman,,Evet,
116,KADIKÖY ÇARŞISININ HAREKETLİ YERİNDE KİRACILI 180 M2 DÜKKAN,4500000,Osmanağa,153.0,2.0,6.0,Bodrum Kat,Merkezi Sistem,21-25,Kiracılı,Danışman,,Evet,12000.0
117,KADIKÖY BAHARİYE CADDESİ ÜZERİNDE KİRACILI 130 M2 MAĞAZA,8000000,Osmanağa,111.0,2.0,4.0,Zemin Kat,Merkezi Sistem,21-25,Kiracılı,Danışman,Kat Mülkiyeti,Evet,33000.0
118,KADIKÖY ÇARŞISININ HAREKETLİ YERİNDE 165 M2 DÜKKAN,4750000,Osmanağa,141.0,3.0,4.0,Zemin Kat,Kombi (Doğalgaz),21-25,Kiracılı,Danışman,,Evet,
119,KADIKÖY BAHARİYE CADDESİ GİRİŞİNDE 300 M2 DÜKKAN,5000000,Osmanağa,255.0,3.0,4.0,Zemin Kat,Kombi (Doğalgaz),16-20,Kiracılı,Danışman,,Evet,
120,KADIKÖY ÇARŞISININ HAREKETLİ YERİNDE 150 M2 DÜKKAN,5500000,Osmanağa,128.0,3.0,4.0,Zemin Kat,Kombi (Doğalgaz),21-25,Kiracılı,Danışman,,Evet,12000.0
121,KADIKÖY ÇARŞISININ  HAREKETLİ YERİNDE KİRACILI 190 M2 DÜKKAN,5000000,Osmanağa,161.0,2.0,4.0,Zemin Kat,Kombi (Doğalgaz),26-30,Kiracılı,Danışman,,Evet,21000.0
122,KADIKÖY BAHARİYE CADDESİ ÜZERİNDE 180 M2 MAĞAZA,20000000,Osmanağa,153.0,2.0,4.0,Zemin Kat,Merkezi Sistem,21-25,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
123,KADIKÖY ÇARŞISININ HAREKETLİ YERİNDE 60 M2 DÜKKAN,4250000,Osmanağa,51.0,2.0,4.0,Zemin Kat,Klima,21-25,Kiracılı,Danışman,,Evet,
